Source,Target,Weight,Type
A_Ad_martyras,A_Pall,6,undirected
A_Ad_martyras,D_Adv_Val,3,undirected
A_Ad_martyras,Di_Cult_I_et_II,1,undirected
A_Ad_Nationes_I_et_II,A_Ad_Scapulam,1,undirected
A_Ad_Nationes_I_et_II,A_Apol,6,undirected
A_Ad_Nationes_I_et_II,A_Test_an,3,undirected
A_Ad_Nationes_I_et_II,Di_Spect,4,undirected
A_Ad_Scapulam,A_Ad_Nationes_I_et_II,1,undirected
A_Ad_Scapulam,A_Apol,5,undirected
A_Ad_Scapulam,A_Test_an,3,undirected
A_Apol,A_Ad_Nationes_I_et_II,6,undirected
A_Apol,A_Ad_Scapulam,5,undirected
A_Apol,A_Test_an,3,undirected
A_Apol,D_Praes,1,undirected
A_Apol,Di_Cult_I_et_II,2,undirected
A_Apol,Di_Spect,4,undirected
A_Pall,A_Ad_martyras,6,undirected
A_Pall,Di_Cor,2,undirected
A_Pall,Di_Idol,3,undirected
A_Pall,Di_Ieiun,2,undirected
A_Scorp,Di_Cor,5,undirected
A_Scorp,Di_Fug,2,undirected
A_Scorp,Di_Spect,1,undirected
A_Test_an,A_Ad_Nationes_I_et_II,3,undirected
A_Test_an,A_Ad_Scapulam,3,undirected
A_Test_an,A_Apol,3,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,6,undirected
D_Adv_Hermogenem,D_Adv_Praxean,3,undirected
D_Adv_Hermogenem,Di_Carn,4,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,6,undirected
D_Adv_Iudaeos,D_Adv_Marc_IV,1,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,2,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,6,undirected
D_Adv_Marc_I,D_Adv_Marc_II,5,undirected
D_Adv_Marc_I,Di_Carn,1,undirected
D_Adv_Marc_II,D_Adv_Marc_I,5,undirected
D_Adv_Marc_II,D_Adv_Praxean,2,undirected
D_Adv_Marc_II,Di_Ieiun,3,undirected
D_Adv_Marc_II,Di_Pud,1,undirected
D_Adv_Marc_III,D_Adv_Iudaeos,6,undirected
D_Adv_Marc_III,D_Adv_Marc_IV,3,undirected
D_Adv_Marc_III,D_Adv_Marc_V,4,undirected
D_Adv_Marc_IV,D_Adv_Iudaeos,1,undirected
D_Adv_Marc_IV,D_Adv_Marc_III,3,undirected
D_Adv_Marc_IV,D_Adv_Marc_V,6,undirected
D_Adv_Marc_IV,D_Adv_Praxean,3,undirected
D_Adv_Marc_IV,Di_Fug,3,undirected
D_Adv_Marc_V,D_Adv_Iudaeos,2,undirected
D_Adv_Marc_V,D_Adv_Marc_III,4,undirected
D_Adv_Marc_V,D_Adv_Marc_IV,6,undirected
D_Adv_Marc_V,D_Adv_Praxean,4,undirected
D_Adv_Marc_V,Di_Fug,1,undirected
D_Adv_Marc_V,Di_Mono,3,undirected
D_Adv_Marc_V,Di_Pud,2,undirected
D_Adv_Marc_V,Di_Res,1,undirected
D_Adv_Praxean,D_Adv_Hermogenem,3,undirected
D_Adv_Praxean,D_Adv_Marc_II,2,undirected
D_Adv_Praxean,D_Adv_Marc_IV,3,undirected
D_Adv_Praxean,D_Adv_Marc_V,4,undirected
D_Adv_Val,A_Ad_martyras,3,undirected
D_Adv_Val,Di_An,5,undirected
D_Adv_Val,Di_Ieiun,6,undirected
D_Praes,A_Apol,1,undirected
D_Praes,Di_Cult_I_et_II,4,undirected
D_Praes,Di_Mono,2,undirected
Di_An,D_Adv_Val,5,undirected
Di_An,Di_Cor,3,undirected
Di_An,Di_Res,3,undirected
Di_Bapt,Di_Orat,6,undirected
Di_Bapt,Di_Paen,2,undirected
Di_Bapt,Di_Vx_I_et_II,2,undirected
Di_Carn,D_Adv_Hermogenem,4,undirected
Di_Carn,D_Adv_Marc_I,1,undirected
Di_Carn,Di_Exhort_Cast,1,undirected
Di_Carn,Di_Mono,2,undirected
Di_Carn,Di_Virg_vel,3,undirected
Di_Cor,A_Pall,2,undirected
Di_Cor,A_Scorp,5,undirected
Di_Cor,Di_An,3,undirected
Di_Cor,Di_Spect,4,undirected
Di_Cult_I_et_II,A_Ad_martyras,1,undirected
Di_Cult_I_et_II,A_Apol,2,undirected
Di_Cult_I_et_II,D_Praes,4,undirected
Di_Cult_I_et_II,Di_Vx_I_et_II,6,undirected
Di_Exhort_Cast,Di_Carn,1,undirected
Di_Exhort_Cast,Di_Fug,2,undirected
Di_Exhort_Cast,Di_Mono,4,undirected
Di_Exhort_Cast,Di_Virg_vel,6,undirected
Di_Fug,A_Scorp,2,undirected
Di_Fug,D_Adv_Marc_IV,3,undirected
Di_Fug,D_Adv_Marc_V,1,undirected
Di_Fug,Di_Exhort_Cast,2,undirected
Di_Fug,Di_Orat,2,undirected
Di_Idol,A_Pall,3,undirected
Di_Idol,Di_Mono,2,undirected
Di_Idol,Di_Spect,1,undirected
Di_Ieiun,A_Pall,2,undirected
Di_Ieiun,D_Adv_Marc_II,3,undirected
Di_Ieiun,D_Adv_Val,6,undirected
Di_Mono,D_Adv_Marc_V,3,undirected
Di_Mono,D_Praes,2,undirected
Di_Mono,Di_Carn,2,undirected
Di_Mono,Di_Exhort_Cast,4,undirected
Di_Mono,Di_Idol,2,undirected
Di_Orat,Di_Bapt,6,undirected
Di_Orat,Di_Fug,2,undirected
Di_Orat,Di_Pat,2,undirected
Di_Paen,Di_Bapt,2,undirected
Di_Paen,Di_Pat,6,undirected
Di_Paen,Di_Vx_I_et_II,4,undirected
Di_Pat,Di_Orat,2,undirected
Di_Pat,Di_Paen,6,undirected
Di_Pat,Di_Vx_I_et_II,3,undirected
Di_Pud,D_Adv_Marc_II,1,undirected
Di_Pud,D_Adv_Marc_V,2,undirected
Di_Pud,Di_Res,6,undirected
Di_Res,D_Adv_Marc_V,1,undirected
Di_Res,Di_An,3,undirected
Di_Res,Di_Pud,6,undirected
Di_Spect,A_Ad_Nationes_I_et_II,4,undirected
Di_Spect,A_Apol,4,undirected
Di_Spect,A_Scorp,1,undirected
Di_Spect,Di_Cor,4,undirected
Di_Spect,Di_Idol,1,undirected
Di_Virg_vel,Di_Carn,3,undirected
Di_Virg_vel,Di_Exhort_Cast,6,undirected
Di_Virg_vel,Di_Vx_I_et_II,2,undirected
Di_Vx_I_et_II,Di_Bapt,2,undirected
Di_Vx_I_et_II,Di_Cult_I_et_II,6,undirected
Di_Vx_I_et_II,Di_Paen,4,undirected
Di_Vx_I_et_II,Di_Pat,3,undirected
Di_Vx_I_et_II,Di_Virg_vel,2,undirected
